X,Y,MUN,PD,REGION
-79.3733251401374,43.6494814143234,PD 1 of Toronto,"1","1"
-79.4519971382614,43.6528429065147,PD 2 of Toronto,"2","1"
-79.4733794212734,43.6945398374926,PD 3 of Toronto,"3","1"
-79.3979537434678,43.7094142857088,PD 4 of Toronto,"4","1"
-79.3508475424802,43.7416491133006,PD 5 of Toronto,"5","1"
-79.3257065599532,43.6857241302319,PD 6 of Toronto,"6","1"
-79.5182655990704,43.6066575486452,PD 7 of Toronto,"7","1"
-79.5424742523325,43.6560286876033,PD 8 of Toronto,"8","1"
-79.5880034617777,43.7219369395131,PD 9 of Toronto,"9","1"
-79.5110241263639,43.7495035925592,PD 10 of Toronto,"10","1"
-79.4218920086027,43.7717668501139,PD 11 of Toronto,"11","1"
-79.351337221737,43.7891080573487,PD 12 of Toronto,"12","1"
-79.2633653250945,43.7472844998702,PD 13 of Toronto,"13","1"
-79.2338972852275,43.7211918403369,PD 14 of Toronto,"14","1"
-79.1684574477505,43.7840249396565,PD 15 of Toronto,"15","1"
-79.2473796846075,43.8113052696404,PD 16 of Toronto,"16","1"
