PD 1 of Toronto,12497,243915
PD 2 of Toronto,7478,172602
PD 3 of Toronto,8805,195330
PD 4 of Toronto,8931,190069
PD 5 of Toronto,4691,100761
PD 6 of Toronto,8089,173314
PD 7 of Toronto,2982,57817
PD 8 of Toronto,8135,164850
PD 9 of Toronto,3290,75964
PD 10 of Toronto,5512,118466
PD 11 of Toronto,8690,178215
PD 12 of Toronto,3396,68277
PD 13 of Toronto,8139,187453
PD 14 of Toronto,2679,51976
PD 15 of Toronto,3223,69400
PD 16 of Toronto,9404,199152
Brock,492,9393
Uxbridge,912,17108
Scugog,966,17664
Pickering,3455,73929
Ajax,4253,91802
Whitby,4691,98729
Oshawa,6403,128848
Clarington,3498,72968
Georgina,1810,37064
East Gwillimbury,994,19397
Newmarket,3060,65752
Aurora,2059,43746
Richmond Hill,7518,156818
Whitchurch-Stouffville,1430,35260
Markham,12850,263751
King,882,19660
Vaughan,11573,238386
Caledon,2689,52174
Brampton,20981,452379
Mississauga,27482,576448
Halton Hills,2286,47914
Milton,3913,78425
Oakville,6951,150721
Burlington,6766,146530
Flamborough,1279,34269
Dundas,597,19663
Ancaster,879,31977
Glanbrook,630,22389
Stoney Creek,1738,54831
Hamilton,7198,270805
Grimsby,1044,21984
Lincoln,888,18725
Pelham,652,13820
Niagara-on-the-Lake,709,14447
St. Catharines,5117,109736
Thorold,807,15427
Niagara Falls,3224,71571
Welland,2051,43251
Port Colborne,750,15307
Fort Erie,1229,25670
West Lincoln,501,11178
Wainfleet,239,5231
Waterloo,4254,85079
Kitchener,8302,185827
Cambridge,4530,101853
North Dumfries,387,8375
Wilmot,679,16177
Wellesley,415,8015
Woolwich,829,18454
City of Guelph,4816,105064
Puslinch,289,6230
Guelph/Eramosa,524,10433
Centre Wellington,1225,22392
Erin,466,9304
Orangeville,1114,22385
Barrie,5817,110884
Innisfil,1359,29671
Bradford-West Gwillimbury,1174,26909
New Tecumseth,1280,27088
Adjala-Tosorontio,400,8806
Essa,822,16193
Clearview,529,11174
Springwater,587,15312
Kawartha Lakes,3005,62982
Peterborough,2866,66117
Cavan Monaghan,379,6989
Otonabee-South Monaghan,340,5917
Asphodel-Norwood,133,3231
Dummer-Douro,305,5551
Selwyn,692,14922
Brant,1684,29447
Collingwood,869,18269
Wasaga Beach,1007,17432
Tiny,473,10632
Penetanguishene,382,7090
Midland,639,13963
Tay,422,8449
Oro-Medonte,788,17498
Severn,513,11406
Ramara,435,8366
Orillia,1212,25317
Mulmur,195,2971
Shelburne,221,5962
Amaranth,162,3030
Melancthon,82,2339
Mono,360,6924
Grand Valley,75,2766
East Garafraxa,275,2157
Brantford,3717,78565
Total:,334416,7226624
